2458342.845138889, A.D. 2018-Aug-12 08:17:00.0000,  6.630581118159986E+06, -1.075134898623527E+08, -1.881794991154708E+06,  3.470829244366301E+01,  1.998009376821927E+00, -1.975986853696736E+00,
2458345.845138889, A.D. 2018-Aug-15 08:17:00.0000,  1.559381420513672E+07, -1.066205910631507E+08, -2.386913070339233E+06,  3.441259095979066E+01,  4.887197303303825E+00, -1.919289622545798E+00,
2458348.845138889, A.D. 2018-Aug-18 08:17:00.0000,  2.444952949462586E+07, -1.049831147829613E+08, -2.875612680979177E+06,  3.387922379139539E+01,  7.739960430820793E+00, -1.849377051477047E+00,
2458351.845138889, A.D. 2018-Aug-21 08:17:00.0000,  3.313661352958730E+07, -1.026130110789062E+08, -3.344531067014627E+06,  3.311222317687245E+01,  1.053700280914610E+01, -1.766746515892963E+00,
2458354.845138889, A.D. 2018-Aug-24 08:17:00.0000,  4.159519491375823E+07, -9.952717864783761E+07, -3.790445029333614E+06,  3.211713413998837E+01,  1.325945523960975E+01, -1.671976833336080E+00,
2458357.845138889, A.D. 2018-Aug-27 08:17:00.0000,  4.976703103730167E+07, -9.574733976257960E+07, -4.210291526367836E+06,  3.090097175802409E+01,  1.588898611189522E+01, -1.565724276779436E+00,
2458360.845138889, A.D. 2018-Aug-30 08:17:00.0000,  5.759588284370985E+07, -9.129988699952586E+07, -4.601187197533086E+06,  2.947217167858749E+01,  1.840790819505084E+01, -1.448718253804157E+00,
2458363.845138889, A.D. 2018-Sep-02 08:17:00.0000,  6.502787593218888E+07, -8.621570282959121E+07, -4.960446725784559E+06,  2.784053421867855E+01,  2.079928120674783E+01, -1.321756673358281E+00,
2458366.845138889, A.D. 2018-Sep-05 08:17:00.0000,  7.201184637059586E+07, -8.052995318749683E+07, -5.285599960822247E+06,  2.601716233628316E+01,  2.304701000308882E+01, -1.185701019052529E+00,
2458369.845138889, A.D. 2018-Sep-08 08:17:00.0000,  7.849966966373232E+07, -7.428185617418613E+07, -5.574407729061205E+06,  2.401439372270280E+01,  2.513593823740954E+01, -1.041471145420157E+00,
2458372.845138889, A.D. 2018-Sep-11 08:17:00.0000,  8.444657138103853E+07, -6.751442708690670E+07, -5.824876260446124E+06,  2.184572722520405E+01,  2.705193733122540E+01, -8.900398113710306E-01,
2458375.845138889, A.D. 2018-Sep-14 08:17:00.0000,  8.981141799757211E+07, -6.027420101396444E+07, -6.035270165641204E+06,  1.952574377594048E+01,  2.878199058488374E+01, -7.324269633234142E-01,
2458378.845138889, A.D. 2018-Sep-17 08:17:00.0000,  9.455698654407881E+07, -5.261093427880912E+07, -6.204123900192950E+06,  1.707002197582525E+01,  3.031427223129363E+01, -5.696937792911356E-01,
2458381.845138889, A.D. 2018-Sep-20 08:17:00.0000,  9.865021169779541E+07, -4.457728607305305E+07, -6.330251655096540E+06,  1.449504846263749E+01,  3.163822120430409E+01, -4.029364846164079E-01,
2458384.845138889, A.D. 2018-Sep-23 08:17:00.0000,  1.020624089776095E+08, -3.622848168203716E+07, -6.412755615962323E+06,  1.181812318252796E+01,  3.274460935527593E+01, -2.332799501109868E-01,
2458387.845138889, A.D. 2018-Sep-26 08:17:00.0000,  1.047694727379224E+08, -2.762195878108413E+07, -6.451032535851277E+06,  9.057259684640199E+00,  3.362560380866641E+01, -6.187108411761422E-02,
2458390.845138889, A.D. 2018-Sep-29 08:17:00.0000,  1.067520476878660E+08, -1.881699836657517E+07, -6.444778570004102E+06,  6.231080570323901E+00,  3.427482310193746E+01,  1.101279685473333E-01,
2458393.845138889, A.D. 2018-Oct-02 08:17:00.0000,  1.079956726994197E+08, -9.874341983885925E+06, -6.393992324310421E+06,  3.358708252188213E+00,  3.468738670919673E+01,  2.815468056777455E-01,
2458396.845138889, A.D. 2018-Oct-05 08:17:00.0000,  1.084908957125733E+08, -8.557970238744363E+05, -6.298976073622844E+06,  4.596512138857242E-01,  3.485995750353719E+01,  4.512139069250800E-01,
2458399.845138889, A.D. 2018-Oct-08 08:17:00.0000,  1.082333586011197E+08,  8.176168019729095E+06, -6.160335111065212E+06, -2.446313990509476E+00,  3.479077667300382E+01,  6.179639120806009E-01,
2458402.845138889, A.D. 2018-Oct-11 08:17:00.0000,  1.072238509321108E+08,  1.715883630948436E+07, -5.978975195410416E+06, -5.339264698329279E+00,  3.447969057212470E+01,  7.806450138011201E-01,
2458405.845138889, A.D. 2018-Oct-14 08:17:00.0000,  1.054683316388137E+08,  2.602966127988752E+07, -5.756098070407583E+06, -8.199257688453331E+00,  3.392816896774423E+01,  9.381264369183988E-01,
2458408.845138889, A.D. 2018-Oct-17 08:17:00.0000,  1.029779177347070E+08,  3.472668880732056E+07, -5.493195037563897E+06, -1.100645785940343E+01,  3.313931412572877E+01,  1.089305973323000E+00,
2458411.845138889, A.D. 2018-Oct-20 08:17:00.0000,  9.976883932818736E+07,  4.318898048835348E+07, -5.192038572372394E+06, -1.374126947403851E+01,  3.211786018459643E+01,  1.233117537827455E+00,
2458414.845138889, A.D. 2018-Oct-23 08:17:00.0000,  9.586236035745773E+07,  5.135703543801177E+07, -4.854671983550755E+06, -1.638446929765285E+01,  3.087016227270946E+01,  1.368538705378278E+00,
2458417.845138889, A.D. 2018-Oct-26 08:17:00.0000,  9.128466465471786E+07,  5.917320788120973E+07, -4.483397126076672E+06, -1.891734083954040E+01,  2.940417484600138E+01,  1.494598182048346E+00,
