Julian date,Fluxes [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s]
2459919.9583817595,183,-57.45256213827781,41.35731253715706,0.23886951167961767,7.448695909367216,161.28642358330814,-3.377842953261084,-66.93115371688687,22.672623634469947,-4.170970655003366
2459920.2917150925,272,-58.89123458662101,43.430083302297255,0.22767139630627667,7.592591590707417,162.63383955952955,-3.3839305290027926,-69.71617357979473,21.802513928843343,-4.31916364073281
2459920.625048426,308,-60.38502644820946,45.785525173213315,0.21619094298141914,7.627387738730532,164.08995579789078,-3.3884108016817684,-72.75007552850415,20.737193113079087,-4.47895824112165
2459920.9583817595,344,-61.92734683650038,48.485760211241995,0.20441808622670696,7.624585533853323,165.6756673253402,-3.3908072109930534,-76.0716835266398,19.4248382707189,-4.651865545073749
2459921.2917150925,437,-63.504250116826654,51.6119798264771,0.19234467392928767,7.60227004642476,167.4178511407825,-3.3904539511570624,-79.72764202177758,17.795160077933552,-4.839588821084131
2459921.625048426,641,-65.08913231373333,55.271903686745176,0.17996634660054156,7.322018066805682,169.35172483779985,-3.386400824042616,-83.77377709414954,15.750904356125874,-5.043983133936964
2459921.9583817595,947,-66.63335899029668,59.61062644687539,0.1672857898913025,7.209354737389388,171.5243983089118,-3.3772581470781717,-88.27598664948601,13.154506797630003,-5.2669201332037945
2459922.2917150925,1057,-68.0493028265765,64.82636998665683,0.15431844480569082,7.017426788857662,173.9976973889651,-3.3609346439801038,-93.30890461933738,9.810952416101228,-5.5099357762528935
2459922.625048426,1266,-69.1789145859594,71.1926492090193,0.1411027256103456,6.594840646006981,176.33451283458018,-3.334180483137273,-98.89713913332938,6.335572369571631,-5.773380178262644
2459922.9583817595,1516,-69.73435022956305,79.0867970317288,0.12771868485881469,6.228258790646786,59.61246096259881,-3.291755230040134,53.24843757834073,90.80500611941493,-6.054405486568877
2459923.2917150925,1851,-69.1853215218956,89.01564045983204,0.11432270575547719,6.102214173608596,-174.87155847354762,-3.22486031525385,-112.11124267350677,-10.061759441558266,-6.342178151427468
2459923.625048426,2193,-66.55356549182957,101.59439111702814,0.10121212904620866,5.633487405372402,-170.47416630969312,-3.1181092702732056,-119.60082926485751,-20.069755098169274,-6.606357208995395
2459923.9583817595,1702,-60.09883520830614,117.321097566708,0.0889405001690287,4.780049295832235,-163.8563488374465,-2.943767929186626,-126.45346861501687,-36.60330668768501,-6.769648617939852
2459924.2917150925,1166,-47.153189617151675,135.71767650196017,0.07848832506118247,3.8684408197575415,-155.0756537758433,-2.6524774658923786,-130.15488349278488,-60.48312088320655,-6.64901476677474
2459924.625048426,1234,-25.35803455970119,153.33486283008878,0.07136258787143952,4.716795991056465,-143.3805830371076,-2.1692152804810525,-124.65111344656557,-92.63964540033108,-5.882694321949998
2459924.9583817595,916,3.1656901504573374,162.56640371291604,0.06917346976867418,5.578514163158163,-128.76616910719804,-1.4410618460583497,-101.77700048702958,-126.73822893925606,-4.08909616949826
2459925.2917150925,386,30.278572337872397,157.57843213101557,0.07248515599182327,5.552013535893784,-113.27369596735886,-0.5679881916407472,-63.39887299171004,-147.39676691822456,-1.5906668804159814
2459925.625048426,461,49.631332503090796,142.1959413562836,0.08031834439610107,5.313297854656202,-99.81991287704841,0.22625827299159249,-25.686394607084537,-148.40084337752043,0.5947446189803859
2459925.9583817595,795,60.932323119019905,124.33272188240839,0.09107295324168982,4.49943794752033,-89.47369330750797,0.8308288877296149,1.271718848421837,-138.44033218241495,2.007707090722735
2459926.2917150925,776,66.5910884622875,108.34026977386624,0.10341805366430659,6.9841972072614436,-81.73410384973826,1.266356468817918,18.2782822151496,-125.81729908360069,2.8104746640794573
2459926.625048426,1305,68.89208040131152,95.22514071057428,0.11649906587709581,6.582323632483805,-75.83332964821598,1.5832240987635613,28.754383134072878,-113.91482174053007,3.247307156960221
2459926.9583817595,934,69.32348488500425,84.71464167445656,0.12982509872193493,7.245455652602157,-71.18996596301164,1.8208733995726816,35.27674147758416,-103.56529203680738,3.478198770553358
2459927.2917150925,703,68.74241557390421,76.27588274679303,0.1431266573688795,7.314135883461641,-67.4206284778421,2.0050286304452096,39.40182332649827,-94.75294148728534,3.5925458650330784
2459927.625048426,539,67.62526783645507,69.42584224448335,0.15625917744521778,7.318219310770228,-64.27688379484862,2.1519906457753275,42.0349922651862,-87.25215854389627,3.6393235641667383
2459927.9583817595,449,66.23624842522872,63.788788328212654,0.1691473560343014,7.44480037561159,-61.594740232617404,2.272251447352807,43.71041953127389,-80.8229949364577,3.645934137021013
2459928.2917150925,340,64.72308039821948,59.085273739708605,0.1817544324655446,7.485737573088893,-59.26281417828628,2.3727596387656034,44.752661006350834,-75.26076119591757,3.628204265528126
2459928.625048426,307,63.16895701069942,55.109306304761034,0.19406527376674285,7.479383627093806,-57.20318220072318,2.4582592506720506,45.365323786674736,-70.40179010204999,3.595569408122325
2459928.9583817595,311,61.62073085991287,51.70827639650847,0.20607693750764935,7.62932001112073,-55.35978893862228,2.532085138524205,45.680107441663495,-66.11776216705037,3.553819036891566
