            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458399.845138889, A.D. 2018-Oct-08 08:17:00.0000, -3.928384704947973E+07, -5.500783920394952E+07, -9.919416233491488E+05,  3.004191372588543E+01, -2.563824151628529E+01, -4.852231612703514E+00,
2458402.845138889, A.D. 2018-Oct-11 08:17:00.0000, -3.099542009395727E+07, -6.085626977550998E+07, -2.230526361622725E+06,  3.374475584580920E+01, -1.942261967705649E+01, -4.684020504919513E+00,
2458405.845138889, A.D. 2018-Oct-14 08:17:00.0000, -2.187634876801530E+07, -6.504650104643068E+07, -3.409814873537239E+06,  3.645415861914142E+01, -1.285876783463640E+01, -4.396217902874454E+00,
2458408.845138889, A.D. 2018-Oct-17 08:17:00.0000, -1.218263028350213E+07, -6.749934451279165E+07, -4.499851653252017E+06,  3.817855147911391E+01, -6.029367863624028E+00, -3.996353364662185E+00,
2458411.845138889, A.D. 2018-Oct-20 08:17:00.0000, -2.170656060176020E+06, -6.815533763176376E+07, -5.472256916576944E+06,  3.890602586675891E+01,  9.943912313178509E-01, -3.489151555056359E+00,
2458414.845138889, A.D. 2018-Oct-23 08:17:00.0000,  7.897204308582569E+06, -6.697304352590764E+07, -6.299575400804382E+06,  3.860201930767477E+01,  8.142965975881221E+00, -2.877124446609172E+00,
2458417.845138889, A.D. 2018-Oct-26 08:17:00.0000,  1.774648284205366E+07, -6.392994366526283E+07, -6.954787851230208E+06,  3.720747743181800E+01,  1.533808015709968E+01, -2.161250750843526E+00,
2458420.845138889, A.D. 2018-Oct-29 08:17:00.0000,  2.708409493811055E+07, -5.902623852929738E+07, -7.411023615132265E+06,  3.463771476195480E+01,  2.248041394004127E+01, -1.341877374242475E+00,
2458423.845138889, A.D. 2018-Nov-01 08:17:00.0000,  3.559171617427216E+07, -5.229226293641789E+07, -7.641558973599251E+06,  3.078300491577942E+01,  2.943373283348059E+01, -4.200704402610249E-01,
2458426.845138889, A.D. 2018-Nov-04 08:17:00.0000,  4.291977163293558E+07, -4.380067076028173E+07, -7.620261388597140E+06,  2.551326560161541E+01,  3.600365877759566E+01,  6.002202284055560E-01,
2458429.845138889, A.D. 2018-Nov-07 08:17:00.0000,  4.868364074069496E+07, -3.368498726983257E+07, -7.322757318288065E+06,  1.869150958846849E+01,  4.190960509891195E+01,  1.708633848248889E+00,
2458432.845138889, A.D. 2018-Nov-10 08:17:00.0000,  5.246534090788344E+07, -2.216631339313205E+07, -6.728768770062351E+06,  1.020445947712959E+01,  4.675034507789064E+01,  2.882776617170958E+00,
2458435.845138889, A.D. 2018-Nov-13 08:17:00.0000,  5.382675527342838E+07, -9.589184310004771E+06, -5.826256921514357E+06,  2.362314917213313E-02,  4.996977823166333E+01,  4.079821404866085E+00,
2458438.845138889, A.D. 2018-Nov-16 08:17:00.0000,  5.234440309901453E+07,  3.535765125835281E+06, -4.618098235397983E+06, -1.168706331821472E+01,  5.084399642304612E+01,  5.225575911221028E+00,
2458441.845138889, A.D. 2018-Nov-19 08:17:00.0000,  4.767904839822500E+07,  1.649331090069577E+07, -3.131615341336866E+06, -2.441154204468589E+01,  4.853698347538723E+01,  6.204384072693188E+00,
2458444.845138889, A.D. 2018-Nov-22 08:17:00.0000,  3.968980760652173E+07,  2.835634778770686E+07, -1.429640927626746E+06, -3.711184356326079E+01,  4.229859706237968E+01,  6.859727650240155E+00,
2458447.845138889, A.D. 2018-Nov-25 08:17:00.0000,  2.857960814712777E+07,  3.805441243523334E+07,  3.817374154085182E+05, -4.818902720855847E+01,  3.185033705859999E+01,  7.022165472733715E+00,
2458450.845138889, A.D. 2018-Nov-28 08:17:00.0000,  1.501027943168313E+07,  4.455602528439654E+07,  2.157518763069140E+06, -5.578932205291008E+01,  1.783447794340420E+01,  6.574118502720502E+00,
2458453.845138889, A.D. 2018-Dec-01 08:17:00.0000,  8.436208089584298E+04,  4.713649163662647E+07,  3.737340646830617E+06, -5.849979134105131E+01,  1.948767048501410E+00,  5.524695632935085E+00,
2458456.845138889, A.D. 2018-Dec-04 08:17:00.0000, -1.486415987353325E+07,  4.560045741502868E+07,  4.982862780317262E+06, -5.602311126851649E+01, -1.355326860857212E+01,  4.030765020858563E+00,
2458459.845138889, A.D. 2018-Dec-07 08:17:00.0000, -2.858515745369860E+07,  4.031380745443382E+07,  5.809298519982487E+06, -4.925232665362522E+01, -2.673447166439145E+01,  2.332545340324829E+00,
2458462.845138889, A.D. 2018-Dec-10 08:17:00.0000, -4.015777652438521E+07,  3.203468217431345E+07,  6.194120945289019E+06, -3.971547791966826E+01, -3.655085893174510E+01,  6.555238316890062E-01,
2458465.845138889, A.D. 2018-Dec-13 08:17:00.0000, -4.906585897273163E+07,  2.167207498817779E+07,  6.164255913895126E+06, -2.891694236088980E+01, -4.284068534006801E+01, -8.490741350929216E-01,
2458468.845138889, A.D. 2018-Dec-16 08:17:00.0000, -5.513774127249280E+07,  1.009866322035916E+07,  5.775265006116390E+06, -1.798120255865899E+01, -4.598152655220119E+01, -2.108943883544526E+00,
2458471.845138889, A.D. 2018-Dec-19 08:17:00.0000, -5.843665052691410E+07, -1.942585184703997E+06,  5.093659167333466E+06, -7.605467143111841E+00, -4.655038984530005E+01, -3.107274270585528E+00,
2458474.845138889, A.D. 2018-Dec-22 08:17:00.0000, -5.916116773435714E+07, -1.386056637400060E+07,  4.185957068051196E+06,  1.842510473021915E+00, -4.511958883833398E+01, -3.857094168292855E+00,
2458477.845138889, A.D. 2018-Dec-25 08:17:00.0000, -5.757559525081974E+07, -2.520187819207308E+07,  3.113454416804917E+06,  1.020512307999999E+01, -4.217240658457246E+01, -4.383435827000262E+00,
2458480.845138889, A.D. 2018-Dec-28 08:17:00.0000, -5.396823261231841E+07, -3.562461191511719E+07,  1.930537839997802E+06,  1.744222168257944E+01, -3.808629589335978E+01, -4.713459108910087E+00,
2458483.845138889, A.D. 2018-Dec-31 08:17:00.0000, -4.862937729564393E+07, -4.487209925100672E+07,  6.848119421634842E+05,  2.357083402934937E+01, -3.314452620220534E+01, -4.871873098283569E+00,
2458486.845138889, A.D. 2019-Jan-03 08:17:00.0000, -4.184156217951325E+07, -5.275099884207515E+07, -5.820056604565866E+05,  2.862943479902848E+01, -2.755583977493288E+01, -4.879264500258270E+00,
