*******************************************************************************
 Revised: April 12, 2021        Jupiter Barycenter                            5
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Jupiter system. The point about 
 which Jupiter and its satellites revolve. See 599 for Jupiter center.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Mar 29 02:45:19 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter Barycenter (5)          {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Aug-12 08:17:00.0000 TDB
Stop  time      : A.D. 2028-Dec-31 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458414.845138889, A.D. 2018-Oct-23 08:17:00.0000, -3.889360452694518E+08, -7.016551756372745E+08,  1.161001761914364E+07,  1.127149955799571E+01, -5.711636047524541E+00, -2.284299777455043E-01,
2458417.845138889, A.D. 2018-Oct-26 08:17:00.0000, -3.860111344374369E+08, -7.031295827616540E+08,  1.155070877283514E+07,  1.129722640434089E+01, -5.664942293367186E+00, -2.291994100413026E-01,
2458420.845138889, A.D. 2018-Oct-29 08:17:00.0000, -3.830795789151255E+08, -7.045918714635018E+08,  1.149120095624357E+07,  1.132277022197818E+01, -5.618129804876611E+00, -2.299652397297427E-01,
2458423.845138889, A.D. 2018-Nov-01 08:17:00.0000, -3.801414262169693E+08, -7.060420110479043E+08,  1.143149510514352E+07,  1.134813044468413E+01, -5.571199207707748E+00, -2.307274515449742E-01,
2458426.845138889, A.D. 2018-Nov-04 08:17:00.0000, -3.771967240040169E+08, -7.074799709824734E+08,  1.137159215926439E+07,  1.137330650753087E+01, -5.524151130259663E+00, -2.314860302388559E-01,
2458429.845138889, A.D. 2018-Nov-07 08:17:00.0000, -3.742455200835776E+08, -7.089057208980581E+08,  1.131149306228533E+07,  1.139829784689932E+01, -5.476986203680914E+00, -2.322409605812958E-01,
2458432.845138889, A.D. 2018-Nov-10 08:17:00.0000, -3.712878624088792E+08, -7.103192305894580E+08,  1.125119876183093E+07,  1.142310390049210E+01, -5.429705061875620E+00, -2.329922273605465E-01,
2458435.845138889, A.D. 2018-Nov-13 08:17:00.0000, -3.683237990787246E+08, -7.117204700161388E+08,  1.119071020946625E+07,  1.144772410734597E+01, -5.382308341509272E+00, -2.337398153834218E-01,
2458438.845138889, A.D. 2018-Nov-16 08:17:00.0000, -3.653533783371441E+08, -7.131094093029478E+08,  1.113002836069188E+07,  1.147215790784405E+01, -5.334796682014233E+00, -2.344837094754353E-01,
2458441.845138889, A.D. 2018-Nov-19 08:17:00.0000, -3.623766485730449E+08, -7.144860187408328E+08,  1.106915417493933E+07,  1.149640474372754E+01, -5.287170725594981E+00, -2.352238944808620E-01,
2458444.845138889, A.D. 2018-Nov-22 08:17:00.0000, -3.593936583198577E+08, -7.158502687875603E+08,  1.100808861556596E+07,  1.152046405810711E+01, -5.239431117233049E+00, -2.359603552627205E-01,
2458447.845138889, A.D. 2018-Nov-25 08:17:00.0000, -3.564044562551801E+08, -7.172021300684372E+08,  1.094683264985031E+07,  1.154433529547397E+01, -5.191578504691686E+00, -2.366930767026783E-01,
2458450.845138889, A.D. 2018-Nov-28 08:17:00.0000, -3.534090912004176E+08, -7.185415733770307E+08,  1.088538724898714E+07,  1.156801790171174E+01, -5.143613538517077E+00, -2.374220437011507E-01,
2458453.845138889, A.D. 2018-Dec-01 08:17:00.0000, -3.504076121204203E+08, -7.198685696758895E+08,  1.082375338808244E+07,  1.159151132411205E+01, -5.095536872032570E+00, -2.381472411776622E-01,
2458456.845138889, A.D. 2018-Dec-04 08:17:00.0000, -3.474000681231168E+08, -7.211830900972652E+08,  1.076193204614872E+07,  1.161481501138813E+01, -5.047349161345826E+00, -2.388686540708296E-01,
2458459.845138889, A.D. 2018-Dec-07 08:17:00.0000, -3.443865084591421E+08, -7.224851059438316E+08,  1.069992420609972E+07,  1.163792841369684E+01, -4.999051065339130E+00, -2.395862673397400E-01,
2458462.845138889, A.D. 2018-Dec-10 08:17:00.0000, -3.413669825214620E+08, -7.237745886894051E+08,  1.063773085474506E+07,  1.166085098265688E+01, -4.950643245676054E+00, -2.403000659647614E-01,
2458465.845138889, A.D. 2018-Dec-13 08:17:00.0000, -3.383415398449908E+08, -7.250515099796668E+08,  1.057535298278469E+07,  1.168358217136582E+01, -4.902126366809001E+00, -2.410100349481814E-01,
2458468.845138889, A.D. 2018-Dec-16 08:17:00.0000, -3.353102301062071E+08, -7.263158416328859E+08,  1.051279158480296E+07,  1.170612143441605E+01, -4.853501095986675E+00, -2.417161593147239E-01,
2458471.845138889, A.D. 2018-Dec-19 08:17:00.0000, -3.322731031227636E+08, -7.275675556406457E+08,  1.045004765926281E+07,  1.172846822790974E+01, -4.804768103261486E+00, -2.424184241119087E-01,
2458474.845138889, A.D. 2018-Dec-22 08:17:00.0000, -3.292302088530940E+08, -7.288066241685716E+08,  1.038712220850006E+07,  1.175062200947280E+01, -4.755928061496893E+00, -2.431168144102849E-01,
2458477.845138889, A.D. 2018-Dec-25 08:17:00.0000, -3.261815973960165E+08, -7.300330195570596E+08,  1.032401623871720E+07,  1.177258223826776E+01, -4.706981646374670E+00, -2.438113153035208E-01,
2458480.845138889, A.D. 2018-Dec-28 08:17:00.0000, -3.231273189903342E+08, -7.312467143220088E+08,  1.026073075997722E+07,  1.179434837500598E+01, -4.657929536401878E+00, -2.445019119083662E-01,
2458483.845138889, A.D. 2018-Dec-31 08:17:00.0000, -3.200674240144309E+08, -7.324476811555541E+08,  1.019726678619823E+07,  1.181591988196486E+01, -4.608772412911616E+00, -2.451885893649184E-01,
