YYYYMMDD,twin_0, twin_1, twin_2,rate_raw_0, rate_raw_1, rate_raw_2
20181207,28409.41909333333,28800.88746666666,0.0,0.00021119756274856627,0.0003472115204203874,0.0
20181208,0.0,9395.24096,1565.8734933333335,0.0,0.00010643686255207285,0.0019158635986968875
20181209,0.0,2572.506453333333,11967.74741333333,0.0,0.00038872595177963376,0.000668463297188282
20181210,0.0,0.0,9451.165013333331,0.0,0.0,0.0006348423776216805
20181211,0.0,9171.544746666666,10849.266346666665,0.0,0.00010903288784902543,0.00018434425874147564
20181212,0.0,10345.949866666666,12918.456319999998,0.0,9.665617835707963e-05,0.0004644517903216183
20181215,0.0,28912.73557333333,15882.431146666668,0.0,0.00027669468545354903,0.00018888796330429614
20190220,0.0,10961.114453333332,28800.88746666666,0.0,0.0002736948081292212,0.0005902596167288721
20190228,0.0,23655.874559999997,0.0,0.0,0.0004227279860060662,0.0
20190301,20691.899733333332,10066.3296,0.0,0.0006765932776033878,0.0004967053537257016,0.0
20190302,0.0,3690.9875200000006,0.0,0.0,0.0005418604123406112,0.0
20190303,0.0,8053.063680000001,0.0,0.0,0.0007450580596923828,0.0
20190308,6263.493973333332,0.0,0.0,0.0012772424379363656,0.0,0.0
20190413,20691.899733333332,0.0,1957.3418666666669,0.003527950495481491,0.0,0.0035762786865234375
20190414,28744.963413333327,16497.595733333335,0.0,0.0025047867093235254,0.0023033658508211374,0.0
20190415,17112.76032,0.0,24159.191039999998,0.002746488433331251,0.0,0.003021624404937029
20190417,5033.1648,0.0,26563.925333333333,0.0025828678626567125,0.0,0.002409282373264432
20190424,0.0,0.0,2069.189973333334,0.0,0.0,0.0009665617835707963
20190426,3746.9115733333338,13813.241173333328,0.0,0.0008006594143807888,0.0010135202901437879,0.0
20190429,0.0,14931.722240000001,7661.595306666668,0.0,0.0008706296212039888,0.001044168951921165
20190505,13533.620906666663,17560.152746666667,0.0,0.000443340337369591,0.0003416826657485217,0.0
20190508,0.0,23264.40618666666,28800.88746666666,0.0,0.0004298411950003356,0.00038193268119357526
20190509,22817.013759999994,0.0,3243.595093333334,0.0002629616647027433,0.0,0.000924899650271982
20190511,0.0,8556.38016,9451.165013333333,0.0,0.0007012311252765357,0.00010580706293694675
20190720,0.0,0.0,19405.646506666668,0.0,0.0,0.0006699081277474761
20190723,28465.343146666663,20300.43136,0.0,0.0006323478883132339,0.0005418604123406112,0.0
20190811,0.0,19070.102186666663,28800.88746666666,0.0,0.001258514472283423,0.0019443845376372337
20190821,0.0,0.0,643.1266133333332,0.0,0.0,0.00310980761423707
20190910,0.0,26871.50762666666,18406.004053333334,0.0,0.004688981454819441,0.0038574370555579662
20190914,0.0,24781.34613333333,27675.41589333333,0.0,0.0026229405775666237,0.0019150570733472705
20190916,0.0,23264.406186666663,28800.88746666666,0.0,0.0015474283136427402,0.0016666153678670526
20190917,0.0,25669.140479999995,28800.88746666666,0.0,0.0018309924053028226,0.001562451827339828
20190923,0.0,27458.71018666666,27290.938026666663,0.0,0.0010925495298579335,0.0011725503718480468
20190924,0.0,27179.08992,28800.88746666666,0.0,0.0009934107074514031,0.0010763556929305196
20190927,28409.41909333333,15882.431146666668,0.0,0.0006335926591418684,0.0008814771426841617,0.0
20190929,0.0,24494.735359999995,26675.773439999994,0.0,0.0006123764906078577,0.0007122567621991038
20190930,0.0,18790.48192,23432.17834666666,0.0,0.0006918396102264524,0.0009388798498548567
20191001,0.0,18510.861653333333,26396.153173333325,0.0,0.0007563126855529845,0.0004546116979327053
20191002,0.0,18175.317333333332,25836.912639999995,0.0,0.0007152557373046875,0.0007353819673880935
20191003,0.0,17895.697066666668,14260.633600000001,0.0,0.0007264316082000732,0.0006311080069281161
20191005,9842.633386666666,0.0,19405.646506666668,0.0002031976473517716,0.0,0.0005668453522957861
20191019,22817.013759999994,0.0,0.0,0.0002629616647027433,0.0,0.0
20191222,0.0,4194.304,2292.886186666666,0.0,0.00095367431640625,0.0013083945959806442
20191225,0.0,17280.53248,28800.88746666666,0.0,0.0008101602434180677,0.0008333076839335263
20191229,0.0,17895.697066666668,25669.140479999995,0.0,0.000391155481338501,0.0007012311252765357
20191230,0.0,17895.697066666668,28800.88746666666,0.0,0.0008940696716308594,0.0006597018800675869
20191231,0.0,19405.646506666668,28800.88746666666,0.0,0.0008245022618211806,0.0007638653623871505
20200101,7158.278826666665,1509.9494399999999,0.0,0.0009778887033462524,0.0026490953750908375,0.0
20200102,7773.443413333334,0.0,2404.7342933333334,0.000514572486281395,0.0,0.0016633854247629642
20200105,2404.7342933333334,8668.228266666667,0.0,0.0012475390685722232,0.0018458212725818157,0.0
20200110,8053.063680000001,0.0,5872.025599999998,0.001862645149230957,0.0,0.0015326908323913813
20200111,3131.746986666667,7326.050986666667,0.0,0.0019158635986968875,0.0016379902372136712,0.0
20200112,0.0,0.0,5872.025599999998,0.0,0.0,0.0020435878541320562
20200114,0.0,0.0,7326.050986666667,0.0,0.0,0.0019109885906800628
20200301,23711.798613333332,0.0,0.0,0.0004217309760861099,0.0,0.0
20200303,17168.684373333333,0.0,3467.2913066666665,0.0006407013861462474,0.0,0.0002884095592889935
20200305,28689.039359999995,5760.177493333332,0.0,0.0002091391070280224,0.0005208172951824963,0.0
20200306,21642.60864,0.0,8220.83584,0.00032343604834750295,0.0,0.0004865685186814517
20200307,12247.367679999998,0.0,0.0,0.0005715513834729791,0.0,0.0
20200308,22984.78592,0.0,26396.153173333325,0.00026104223798029125,0.0,0.00034095876617357135
